time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,en0,pdp_ip0,DeviceOrientation,Event
2013-11-12 15:12:01.842,22,2.2,52.16995,4.45778,0,1.058514,277.2216,9,5,1384265401,-0.1408234,-0.8536987,-0.5410919,16.12703,-34.11382,-16.25348,251.5763,251.2326,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:02.103,23,2.3,52.16995,4.45778,0,1.058514,277.2216,9,5,1384265401,-0.1856079,-0.6854858,-0.5163879,15.08081,-34.60688,-16.65405,251.491,251.1472,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:02.265,24,2.4,52.16995,4.45778,0,1.058514,277.2216,9,5,1384265401,-0.1280823,-0.8555908,-0.6130829,16.29222,-33.18249,-16.5396,251.4655,251.1218,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:02.653,25,2.5,52.16995,4.45778,0,1.058514,277.2216,9,5,1384265401,-0.2888184,-0.7862091,-0.5330658,16.7878,-32.90856,-16.48238,251.4958,251.1521,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:02.995,26,2.6,52.16996,4.457767,0,1.041648,309.6884,9,10,1384265402,-0.2522736,-0.8782806,-0.5852661,16.34729,-31.81288,-17.62685,254.1765,253.8327,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:03.161,27,2.7,52.16996,4.457767,0,1.041648,309.6884,9,10,1384265402,-0.2476807,-0.8818054,-0.5326538,15.19094,-32.4155,-18.25631,254.0331,253.6894,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:03.252,28,2.8,52.16996,4.457767,0,1.041648,309.6884,9,10,1384265402,-0.1370697,-0.8984985,-0.5136871,14.6403,-31.31982,-19.1719,257.6961,257.3524,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:03.395,29,2.9,52.16996,4.457767,0,1.041648,309.6884,9,10,1384265402,-0.3243103,-0.7830963,-0.482605,15.13588,-30.82676,-20.03025,261.0081,260.6644,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:03.517,30,3,52.16996,4.457767,0,1.041648,309.6884,9,10,1384265402,-0.09884644,-0.8893127,-0.6040955,14.36497,-30.38848,-19.34357,260.3786,260.0349,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:03.631,31,3.1,52.16996,4.457767,0,1.041648,309.6884,9,10,1384265402,-0.1793365,-0.8324127,-0.5383606,14.75043,-31.97723,-18.7141,260.1612,259.8175,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:03.796,32,3.2,52.16996,4.457767,0,1.041648,309.6884,9,10,1384265402,-0.01831055,-0.7809296,-0.6527405,14.6403,-32.63464,-16.65405,259.3846,259.0408,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:04.083,33,3.3,52.16996,4.457767,0,1.041648,309.6884,9,10,1384265402,-0.1313782,-0.8330841,-0.8351135,16.40235,-33.40162,-16.65405,258.1317,257.788,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:04.230,34,3.4,52.16996,4.457767,0,1.041648,309.6884,9,10,1384265402,-0.09326172,-0.8405762,-0.6061401,15.46626,-33.23727,-15.45235,257.0313,256.6876,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:04.502,35,3.5,52.16996,4.457767,0,1.041648,309.6884,9,10,1384265402,0.1480713,-1.028854,-0.6865082,16.07197,-33.73033,-15.39513,255.8444,255.5007,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:04.702,36,3.6,52.16996,4.457757,0,0.987434,309.1499,9,10,1384265403,-0.147995,-0.930954,-0.6694031,16.73274,-35.26429,-15.28068,254.5153,254.1716,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:05.082,37,3.7,52.16996,4.457757,0,0.987434,309.1499,9,10,1384265403,-0.1620789,-0.665802,-0.558197,16.12703,-35.31908,-13.85008,252.3524,252.0087,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:05.316,38,3.8,52.16996,4.457757,0,0.987434,309.1499,9,10,1384265403,0.01251221,-0.9551697,-0.5070953,16.34729,-35.09994,-14.88012,250.9899,250.6462,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:05.552,39,3.9,52.16996,4.457757,0,0.987434,309.1499,9,10,1384265403,-0.1826324,-0.7529755,-0.6252441,15.68652,-35.53822,-14.42232,249.5225,249.1788,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:05.659,40,4,52.16996,4.457757,0,0.987434,309.1499,9,10,1384265403,-0.1971283,-0.8335571,-0.5988007,16.51248,-34.60688,-13.90731,248.4446,248.1008,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:05.825,41,4.1,52.16996,4.457757,0,0.987434,309.1499,9,10,1384265403,-0.1150818,-0.8562012,-0.5429077,17.39351,-34.82602,-14.02176,245.4092,245.0655,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:06.185,42,4.2,52.16996,4.457757,0,0.987434,309.1499,9,10,1384265403,-0.1515045,-0.8418579,-0.5499115,16.73274,-35.04515,-12.64838,241.4932,241.1495,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:06.371,43,4.3,52.16996,4.457757,0,0.987434,309.1499,9,10,1384265403,-0.06994629,-0.8271179,-0.576889,16.89793,-34.44253,-13.04896,243.3964,243.0527,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:06.512,44,4.4,52.16996,4.457757,0,0.987434,309.1499,9,10,1384265403,-0.07316589,-0.8506012,-0.5875549,16.34729,-34.77123,-13.73564,243.4331,243.0894,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:06.657,45,4.5,52.16996,4.457744,0,1.00046,290.7599,9,10,1384265404,-0.1102905,-0.8152313,-0.5410767,17.5587,-34.22339,-14.76566,247.1656,246.8219,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:06.768,46,4.6,52.16996,4.457744,0,1.00046,290.7599,9,10,1384265404,-0.1985931,-0.8511963,-0.6065369,16.12703,-33.89468,-15.45235,248.0299,247.6862,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:06.989,47,4.7,52.16996,4.457744,0,1.00046,290.7599,9,10,1384265404,-0.2021179,-0.8311157,-0.5550232,16.12703,-34.33296,-14.88012,245.829,245.4853,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:07.185,48,4.8,52.16996,4.457744,0,1.00046,290.7599,9,10,1384265404,-0.1672668,-0.8180695,-0.5471191,16.73274,-31.97723,-16.42515,249.1747,248.8309,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:07.330,49,4.9,52.16996,4.457744,0,1.00046,290.7599,9,10,1384265404,-0.1841888,-0.8573303,-0.605484,18.27454,-33.18249,-16.42515,248.0469,247.7032,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:07.444,50,5,52.16996,4.457744,0,1.00046,290.7599,9,10,1384265404,-0.1521912,-0.8059387,-0.5772705,18.93531,-33.51119,-16.65405,248.3077,247.9639,25,0.0.0.0,10.139.171.151,1,0
