time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,en0,pdp_ip0,DeviceOrientation,Event
2013-11-12 15:13:05.222,1,0.1,52.17019,4.457928,0,1.246731,315.4623,9.045114,5,1384265443,-0.128952,-0.6688995,-0.719696,7.071251,-29.78997,-26.27525,31.61197,31.26826,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:05.659,2,0.2,52.17019,4.457928,0,1.246731,315.4623,9.045114,5,1384265443,-0.08047485,-0.8304596,-0.7550812,5.804707,-30.83047,-24.27503,28.53543,28.19172,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:06.025,3,0.3,52.17019,4.457928,0,1.246731,315.4623,9.045114,5,1384265443,-0.1875305,-0.7666016,-0.7381592,5.033764,-30.72094,-24.96084,29.02726,28.68355,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:06.286,4,0.4,52.17019,4.457928,0,1.246731,315.4623,9.045114,5,1384265443,-0.04981995,-0.7193756,-0.7231445,4.813496,-30.61142,-25.64661,29.11171,28.768,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:06.551,5,0.5,52.17019,4.457928,0,1.246731,315.4623,9.045114,5,1384265443,-0.09463501,-0.7631226,-0.6910553,5.198967,-30.66618,-25.47517,29.188,28.84428,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:06.761,6,0.6,52.17019,4.457928,0,0,315.4623,9.08362,5,1384265444,-0.04605103,-0.8099976,-0.6868591,4.868565,-30.00903,-25.93235,29.28541,28.94169,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:07.066,7,0.7,52.17019,4.457928,0,0,315.4623,9.08362,5,1384265444,-0.07400513,-0.8535919,-0.59729,5.364168,-30.39237,-25.53233,29.3105,28.96678,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:07.243,8,0.8,52.17019,4.457928,0,0,315.4623,9.08362,5,1384265444,-0.173584,-0.8017883,-0.4926758,5.198967,-30.3376,-24.90368,29.31569,28.97197,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:07.378,9,0.9,52.17019,4.457928,0,0,315.4623,9.08362,5,1384265444,-0.173584,-0.8017883,-0.4926758,3.98749,-29.4614,-25.93235,29.31633,28.97261,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:07.606,10,1,52.17019,4.457928,0,0,315.4623,9.08362,5,1384265444,-0.179657,-0.8626099,-0.5295258,4.317892,-29.78997,-25.47517,29.28698,28.94327,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:08.168,11,1.1,52.17019,4.457928,0,0,315.4623,9.08362,5,1384265444,-0.2199097,-0.7724762,-0.4831848,5.419235,-30.55666,-26.04665,29.18234,28.83862,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:08.355,12,1.2,52.17019,4.457928,0,0,315.4623,9.166799,5,1384265445,-0.1694489,-0.7754517,-0.4859009,4.207758,-29.8995,-27.30393,29.17735,28.83363,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:08.566,13,1.3,52.17019,4.457928,0,0,315.4623,9.166799,5,1384265445,-0.2825928,-0.9489288,-0.4664001,4.758429,-30.77571,-25.36086,29.17651,28.8328,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:08.810,14,1.4,52.17019,4.457928,0,0,315.4623,9.166799,5,1384265445,-0.2139435,-0.80867,-0.3681793,4.923632,-31.04952,-25.76092,29.17304,28.82933,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:09.191,15,1.5,52.17019,4.457928,0,0,315.4623,9.166799,5,1384265445,-0.2927856,-0.9884949,-0.5403442,5.088833,-30.00902,-25.47517,29.15554,28.81182,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:09.336,16,1.6,52.17019,4.457928,0,0,315.4623,9.166799,5,1384265445,-0.1325531,-0.8859711,-0.5243988,4.372959,-30.50189,-24.61794,29.14494,28.80122,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:09.463,17,1.7,52.17019,4.457928,0,0,315.4623,9.166799,5,1384265445,-0.07559204,-0.9214478,-0.5377197,4.593227,-29.95427,-26.44669,29.12682,28.7831,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:09.585,18,1.8,52.17019,4.457928,0,0,315.4623,9.166799,5,1384265445,-0.1105957,-0.8846893,-0.5496216,4.097624,-30.55666,-25.93235,29.11376,28.77004,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:09.728,19,1.9,52.17019,4.457928,0,0,315.4623,9.166799,5,1384265445,-0.1494751,-0.8552399,-0.5119019,5.584436,-30.28284,-24.96084,29.10213,28.75841,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:09.936,20,2,52.17019,4.457928,0,0,315.4623,9.232622,5,1384265446,-0.1298065,-0.8419647,-0.5138092,4.758429,-29.8995,-25.01798,29.09527,28.75155,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:10.150,21,2.1,52.17019,4.457928,0,0,315.4623,9.232622,5,1384265446,-0.1530304,-0.8154449,-0.5529022,5.033764,-30.17332,-24.27503,29.09295,28.74923,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:10.302,22,2.2,52.17019,4.457928,0,0,315.4623,9.232622,5,1384265446,-0.2215729,-0.7635803,-0.585434,4.428028,-31.65191,-22.73203,29.09199,28.74828,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:10.454,23,2.3,52.17019,4.457928,0,0,315.4623,9.232622,5,1384265446,-0.165329,-0.7705231,-0.5813141,3.60202,-31.26857,-22.33199,29.0931,28.74938,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:10.606,24,2.4,52.17019,4.457928,0,0,315.4623,9.232622,5,1384265446,-0.1915588,-0.7810822,-0.6174164,5.419235,-30.11856,-22.38914,29.09568,28.75196,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:10.814,25,2.5,52.17019,4.457928,0,0,315.4623,9.232622,5,1384265446,-0.133255,-0.8714752,-0.6510162,4.152691,-29.84474,-22.44628,29.10258,28.75886,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:11.047,26,2.6,52.17019,4.457928,0,0,315.4623,9.232622,5,1384265446,-0.133255,-0.8714752,-0.6510162,4.593227,-29.84474,-22.78918,29.11259,28.76888,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:11.155,27,2.7,52.17019,4.457928,0,0,315.4623,9.232622,5,1384265446,-0.05979919,-0.7360687,-0.5371704,4.593227,-30.28284,-21.87479,29.12072,28.777,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:11.292,28,2.8,52.17019,4.457928,0,0,315.4623,9.232622,5,1384265446,-0.0763855,-0.7872314,-0.6110992,4.813496,-30.39237,-22.21769,29.1291,28.78538,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:11.402,29,2.9,52.17019,4.457928,0,0,315.4623,9.329188,10,1384265447,-0.08641052,-0.8896637,-0.6157379,4.097624,-30.22808,-22.27483,29.13767,28.79395,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:11.542,30,3,52.17019,4.457928,0,0,315.4623,9.329188,10,1384265447,-0.1153259,-0.8417053,-0.5624237,4.593227,-29.51616,-21.98909,29.14391,28.80019,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:11.632,31,3.1,52.17019,4.457928,0,0,315.4623,9.329188,10,1384265447,-0.07885742,-0.694519,-0.5246887,3.822289,-30.61142,-22.33199,29.15326,28.80955,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:11.840,32,3.2,52.17019,4.457928,0,0,315.4623,9.329188,10,1384265447,-0.1932526,-0.9224701,-0.586853,5.1439,-30.06379,-22.21769,29.16103,28.81731,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:12.285,33,3.3,52.17019,4.457928,0,0,315.4623,9.329188,10,1384265447,-0.144989,-0.6651917,-0.5591125,4.868565,-30.55665,-22.96062,29.16649,28.82277,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:12.557,34,3.4,52.17019,4.457928,0,0,315.4623,9.329188,10,1384265447,-0.1391754,-0.8784332,-0.5692444,4.428028,-30.00902,-22.84632,29.17057,28.82685,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:12.826,35,3.5,52.17019,4.457928,0,0,315.4623,9.329188,10,1384265447,-0.147995,-0.8338776,-0.5245972,4.978699,-29.78997,-22.04625,29.1737,28.82998,26,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:13.045,36,3.6,52.17019,4.457928,0,0,315.4623,9.37901,5,1384265448,-0.1430664,-0.8753967,-0.5673218,4.265247,-32.18512,-22.78059,269.1284,268.7847,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:13.152,37,3.7,52.17019,4.457928,0,0,315.4623,9.37901,5,1384265448,-0.1252899,-0.7472229,-0.508194,4.100012,-31.47215,-23.64191,268.8336,268.4898,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:13.307,38,3.8,52.17019,4.457928,0,0,315.4623,9.37901,5,1384265448,-0.2344055,-0.9520416,-0.5976562,4.540638,-31.47215,-23.29739,268.7558,268.4121,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:13.410,39,3.9,52.17019,4.457928,0,0,315.4623,9.37901,5,1384265448,-0.1508636,-0.6778412,-0.4588165,4.926184,-31.08824,-23.5845,268.6861,268.3423,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:13:13.532,40,4,52.17019,4.457928,0,0,315.4623,9.37901,5,1384265448,-0.1222992,-0.9567566,-0.5485382,5.201574,-31.58183,-22.95284,268.5811,268.2374,25,0.0.0.0,10.139.171.151,1,0
